Reference 1,,
Freq (Hz),e',e''
500000000,1,0
512000000,1,0
524000000,1,0
536000000,1,0
548000000,1,0
560000000,1,0
572000000,1,0
584000000,1,0
596000000,1,0
608000000,1,0
620000000,1,0
632000000,1,0
644000000,1,0
656000000,1,0
668000000,1,0
680000000,1,0
692000000,1,0
704000000,1,0
716000000,1,0
728000000,1,0
740000000,1,0
752000000,1,0
764000000,1,0
776000000,1,0
788000000,1,0
800000000,1,0
812000000,1,0
824000000,1,0
836000000,1,0
848000000,1,0
860000000,1,0
872000000,1,0
884000000,1,0
896000000,1,0
908000000,1,0
920000000,1,0
932000000,1,0
944000000,1,0
956000000,1,0
968000000,1,0
980000000,1,0
992000000,1,0
1004000000,1,0
1016000000,1,0
1028000000,1,0
1040000000,1,0
1052000000,1,0
1064000000,1,0
1076000000,1,0
1088000000,1,0
1100000000,1,0
1112000000,1,0
1124000000,1,0
1136000000,1,0
1148000000,1,0
1160000000,1,0
1172000000,1,0
1184000000,1,0
1196000000,1,0
1208000000,1,0
1220000000,1,0
1232000000,1,0
1244000000,1,0
1256000000,1,0
1268000000,1,0
1280000000,1,0
1292000000,1,0
1304000000,1,0
1316000000,1,0
1328000000,1,0
1340000000,1,0
1352000000,1,0
1364000000,1,0
1376000000,1,0
1388000000,1,0
1400000000,1,0
1412000000,1,0
1424000000,1,0
1436000000,1,0
1448000000,1,0
1460000000,1,0
1472000000,1,0
1484000000,1,0
1496000000,1,0
1508000000,1,0
1520000000,1,0
1532000000,1,0
1544000000,1,0
1556000000,1,0
1568000000,1,0
1580000000,1,0
1592000000,1,0
1604000000,1,0
1616000000,1,0
1628000000,1,0
1640000000,1,0
1652000000,1,0
1664000000,1,0
1676000000,1,0
1688000000,1,0
1700000000,1,0
1712000000,1,0
1724000000,1,0
1736000000,1,0
1748000000,1,0
1760000000,1,0
1772000000,1,0
1784000000,1,0
1796000000,1,0
1808000000,1,0
1820000000,1,0
1832000000,1,0
1844000000,1,0
1856000000,1,0
1868000000,1,0
1880000000,1,0
1892000000,1,0
1904000000,1,0
1916000000,1,0
1928000000,1,0
1940000000,1,0
1952000000,1,0
1964000000,1,0
1976000000,1,0
1988000000,1,0
2000000000,1,0
2012000000,1,0
2024000000,1,0
2036000000,1,0
2048000000,1,0
2060000000,1,0
2072000000,1,0
2084000000,1,0
2096000000,1,0
2108000000,1,0
2120000000,1,0
2132000000,1,0
2144000000,1,0
2156000000,1,0
2168000000,1,0
2180000000,1,0
2192000000,1,0
2204000000,1,0
2216000000,1,0
2228000000,1,0
2240000000,1,0
2252000000,1,0
2264000000,1,0
2276000000,1,0
2288000000,1,0
2300000000,1,0
2312000000,1,0
2324000000,1,0
2336000000,1,0
2348000000,1,0
2360000000,1,0
2372000000,1,0
2384000000,1,0
2396000000,1,0
2408000000,1,0
2420000000,1,0
2432000000,1,0
2444000000,1,0
2456000000,1,0
2468000000,1,0
2480000000,1,0
2492000000,1,0
2504000000,1,0
2516000000,1,0
2528000000,1,0
2540000000,1,0
2552000000,1,0
2564000000,1,0
2576000000,1,0
2588000000,1,0
2600000000,1,0
2612000000,1,0
2624000000,1,0
2636000000,1,0
2648000000,1,0
2660000000,1,0
2672000000,1,0
2684000000,1,0
2696000000,1,0
2708000000,1,0
2720000000,1,0
2732000000,1,0
2744000000,1,0
2756000000,1,0
2768000000,1,0
2780000000,1,0
2792000000,1,0
2804000000,1,0
2816000000,1,0
2828000000,1,0
2840000000,1,0
2852000000,1,0
2864000000,1,0
2876000000,1,0
2888000000,1,0
2900000000,1,0
2912000000,1,0
2924000000,1,0
2936000000,1,0
2948000000,1,0
2960000000,1,0
2972000000,1,0
2984000000,1,0
2996000000,1,0
3008000000,1,0
3020000000,1,0
3032000000,1,0
3044000000,1,0
3056000000,1,0
3068000000,1,0
3080000000,1,0
3092000000,1,0
3104000000,1,0
3116000000,1,0
3128000000,1,0
3140000000,1,0
3152000000,1,0
3164000000,1,0
3176000000,1,0
3188000000,1,0
3200000000,1,0
3212000000,1,0
3224000000,1,0
3236000000,1,0
3248000000,1,0
3260000000,1,0
3272000000,1,0
3284000000,1,0
3296000000,1,0
3308000000,1,0
3320000000,1,0
3332000000,1,0
3344000000,1,0
3356000000,1,0
3368000000,1,0
3380000000,1,0
3392000000,1,0
3404000000,1,0
3416000000,1,0
3428000000,1,0
3440000000,1,0
3452000000,1,0
3464000000,1,0
3476000000,1,0
3488000000,1,0
3500000000,1,0
3512000000,1,0
3524000000,1,0
3536000000,1,0
3548000000,1,0
3560000000,1,0
3572000000,1,0
3584000000,1,0
3596000000,1,0
3608000000,1,0
3620000000,1,0
3632000000,1,0
3644000000,1,0
3656000000,1,0
3668000000,1,0
3680000000,1,0
3692000000,1,0
3704000000,1,0
3716000000,1,0
3728000000,1,0
3740000000,1,0
3752000000,1,0
3764000000,1,0
3776000000,1,0
3788000000,1,0
3800000000,1,0
3812000000,1,0
3824000000,1,0
3836000000,1,0
3848000000,1,0
3860000000,1,0
3872000000,1,0
3884000000,1,0
3896000000,1,0
3908000000,1,0
3920000000,1,0
3932000000,1,0
3944000000,1,0
3956000000,1,0
3968000000,1,0
3980000000,1,0
3992000000,1,0
4004000000,1,0
4016000000,1,0
4028000000,1,0
4040000000,1,0
4052000000,1,0
4064000000,1,0
4076000000,1,0
4088000000,1,0
4100000000,1,0
4112000000,1,0
4124000000,1,0
4136000000,1,0
4148000000,1,0
4160000000,1,0
4172000000,1,0
4184000000,1,0
4196000000,1,0
4208000000,1,0
4220000000,1,0
4232000000,1,0
4244000000,1,0
4256000000,1,0
4268000000,1,0
4280000000,1,0
4292000000,1,0
4304000000,1,0
4316000000,1,0
4328000000,1,0
4340000000,1,0
4352000000,1,0
4364000000,1,0
4376000000,1,0
4388000000,1,0
4400000000,1,0
4412000000,1,0
4424000000,1,0
4436000000,1,0
4448000000,1,0
4460000000,1,0
4472000000,1,0
4484000000,1,0
4496000000,1,0
4508000000,1,0
4520000000,1,0
4532000000,1,0
4544000000,1,0
4556000000,1,0
4568000000,1,0
4580000000,1,0
4592000000,1,0
4604000000,1,0
4616000000,1,0
4628000000,1,0
4640000000,1,0
4652000000,1,0
4664000000,1,0
4676000000,1,0
4688000000,1,0
4700000000,1,0
4712000000,1,0
4724000000,1,0
4736000000,1,0
4748000000,1,0
4760000000,1,0
4772000000,1,0
4784000000,1,0
4796000000,1,0
4808000000,1,0
4820000000,1,0
4832000000,1,0
4844000000,1,0
4856000000,1,0
4868000000,1,0
4880000000,1,0
4892000000,1,0
4904000000,1,0
4916000000,1,0
4928000000,1,0
4940000000,1,0
4952000000,1,0
4964000000,1,0
4976000000,1,0
4988000000,1,0
5000000000,1,0
5012000000,1,0
5024000000,1,0
5036000000,1,0
5048000000,1,0
5060000000,1,0
5072000000,1,0
5084000000,1,0
5096000000,1,0
5108000000,1,0
5120000000,1,0
5132000000,1,0
5144000000,1,0
5156000000,1,0
5168000000,1,0
5180000000,1,0
5192000000,1,0
5204000000,1,0
5216000000,1,0
5228000000,1,0
5240000000,1,0
5252000000,1,0
5264000000,1,0
5276000000,1,0
5288000000,1,0
5300000000,1,0
5312000000,1,0
5324000000,1,0
5336000000,1,0
5348000000,1,0
5360000000,1,0
5372000000,1,0
5384000000,1,0
5396000000,1,0
5408000000,1,0
5420000000,1,0
5432000000,1,0
5444000000,1,0
5456000000,1,0
5468000000,1,0
5480000000,1,0
5492000000,1,0
5504000000,1,0
5516000000,1,0
5528000000,1,0
5540000000,1,0
5552000000,1,0
5564000000,1,0
5576000000,1,0
5588000000,1,0
5600000000,1,0
5612000000,1,0
5624000000,1,0
5636000000,1,0
5648000000,1,0
5660000000,1,0
5672000000,1,0
5684000000,1,0
5696000000,1,0
5708000000,1,0
5720000000,1,0
5732000000,1,0
5744000000,1,0
5756000000,1,0
5768000000,1,0
5780000000,1,0
5792000000,1,0
5804000000,1,0
5816000000,1,0
5828000000,1,0
5840000000,1,0
5852000000,1,0
5864000000,1,0
5876000000,1,0
5888000000,1,0
5900000000,1,0
5912000000,1,0
5924000000,1,0
5936000000,1,0
5948000000,1,0
5960000000,1,0
5972000000,1,0
5984000000,1,0
5996000000,1,0
6008000000,1,0
6020000000,1,0
6032000000,1,0
6044000000,1,0
6056000000,1,0
6068000000,1,0
6080000000,1,0
6092000000,1,0
6104000000,1,0
6116000000,1,0
6128000000,1,0
6140000000,1,0
6152000000,1,0
6164000000,1,0
6176000000,1,0
6188000000,1,0
6200000000,1,0
6212000000,1,0
6224000000,1,0
6236000000,1,0
6248000000,1,0
6260000000,1,0
6272000000,1,0
6284000000,1,0
6296000000,1,0
6308000000,1,0
6320000000,1,0
6332000000,1,0
6344000000,1,0
6356000000,1,0
6368000000,1,0
6380000000,1,0
6392000000,1,0
6404000000,1,0
6416000000,1,0
6428000000,1,0
6440000000,1,0
6452000000,1,0
6464000000,1,0
6476000000,1,0
6488000000,1,0
6500000000,1,0
